birth_year,games,games_starts,minutes,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,minutes_90s,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,goals
1998,6,3,303,1,0,0,0,0,0,0.3,0.3,0,0.3,0.4,0.4,0.4,0.12,0.12,0.12,0.12,0.12,3.4,0,1,0,25,25,0.3,0,0,0.1,-0.4,-0.4,140,183,76.5,2337,788,72,77,93.5,57,72,79.2,10,25,40,1,2,11,0,0,10,162,21,4,0,0,4,1,0,0,0,0,0,0,0,0,0,0,17,17,0,0,0,5,5,1.49,4,0,0,1,0,1,0.3,1,0,0,0,0,0,6,5,5,0,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,2,14,0,220,16,97,80,43,18,220,220,220,220,220,220,119,119,119,6,4,0,0,147,147,6,3,0,5,0,0,0,0,0,12,10,1,90.9,0
1995,6,6,540,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.1,0.02,0.02,0.02,0.02,0.02,6,0,1,0,25,25,0.17,0,0,0.03,-0.1,-0.1,503,540,93.1,7869,2088,264,271,97.4,211,224,94.2,19,30,63.3,0,4,50,0,0,26,527,13,7,2,2,2,3,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,2,12,2,12,0,0,0,0,2,0.33,2,0,0,0,0,0,12,7,5,6,1,1,1,1,1,1,1,1,1,1,1,8,5,5,3,6,12,0,589,37,184,339,67,5,589,589,589,589,589,589,406,406,406,10,10,0,0,469,469,2,2,0,3,5,0,0,0,0,31,5,3,62.5,0
1995,7,5,462,0,0,0,0,0,0.19,0,0.19,0.19,0.19,0.8,0.8,0.8,0.16,0.16,0.16,0.16,0.16,5.1,0,2,0,28.6,28.6,0.39,0.14,0.5,0.12,0.2,0.2,354,385,91.9,5909,1571,146,156,93.6,184,193,95.3,12,22,54.5,0,1,21,0,0,28,354,31,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,26,26,0,0,0,1,7,1.36,5,0,0,2,0,2,0.39,1,0,0,1,0,0,10,6,8,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,5,7,0,421,12,151,216,55,10,421,421,421,421,421,421,270,270,270,6,6,0,0,300,300,1,0,0,3,5,0,0,0,0,28,12,3,80,1
1998,6,5,420,1,0,0,2,0,0,0.21,0.21,0,0.21,0.2,0.2,0.2,0.04,0.04,0.04,0.04,0.04,4.7,0,2,0,40,40,0.43,0,0,0.04,-0.2,-0.2,248,325,76.3,4673,2172,115,121,95,91,113,80.5,35,80,43.8,1,10,23,6,1,21,259,64,20,7,7,6,20,8,0,7,0,0,0,0,0,0,0,36,36,2,2,2,2,21,4.5,14,5,5,1,0,3,0.64,2,1,1,0,0,0,9,8,7,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,4,14,2,366,21,116,179,77,4,366,366,366,366,366,366,177,177,177,15,9,3,3,227,227,4,2,0,2,2,0,0,0,0,34,0,0,0,0
1992,8,8,720,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,286,345,82.9,6452,4066,67,68,98.5,165,168,98.2,53,107,49.5,0,0,5,0,0,0,291,54,11,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.37,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,360,241,346,14,0,0,360,360,360,360,360,360,261,261,261,0,0,0,0,216,216,2,0,0,1,0,0,0,0,0,12,1,0,100,0
1994,8,7,564,0,0,0,1,0,0.32,0,0.32,0.32,0.32,1.1,1.1,1.1,0.18,0.18,0.18,0.18,0.18,6.3,0,4,0,28.6,28.6,0.64,0.14,0.5,0.08,0.9,0.9,197,242,81.4,2603,492,129,146,88.4,57,70,81.4,6,8,75,0,4,10,5,0,22,241,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,7,15,2.39,12,0,0,2,1,2,0.32,1,0,0,1,0,0,7,4,2,3,2,2,2,2,2,2,2,2,2,2,2,8,0,0,8,5,3,0,305,3,40,132,135,20,305,305,305,305,305,305,202,202,202,30,12,7,7,243,243,7,6,0,4,5,2,0,0,0,28,1,1,50,2
1997,7,6,501,0,0,0,4,0,0,0,0,0,0,0.2,0.2,0.2,0.04,0.04,0.04,0.04,0.04,5.6,0,1,0,33.3,33.3,0.18,0,0,0.07,-0.2,-0.2,194,228,85.1,3283,949,97,109,89,73,82,89,18,28,64.3,0,1,9,0,0,9,226,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,1.26,5,0,0,1,0,1,0.18,1,0,0,0,0,0,13,8,6,6,1,1,1,1,1,1,1,1,1,1,1,11,3,3,8,4,27,0,306,46,138,142,28,3,306,306,306,306,306,306,170,170,170,0,3,0,0,188,188,4,4,0,12,3,0,0,0,0,27,10,10,50,0
2000,8,8,662,3,0,0,2,0,0.41,0.41,0.82,0.41,0.82,2.6,2.6,2.6,0.36,0.36,0.36,0.36,0.36,7.4,0,10,6,41.7,41.7,1.36,0.13,0.3,0.11,0.4,0.4,230,304,75.7,3163,745,143,164,87.2,53,71,74.6,17,41,41.5,3,19,12,11,1,25,261,41,13,4,4,0,40,22,7,11,0,0,0,0,0,0,0,3,3,2,2,2,6,28,3.81,21,5,5,0,1,5,0.68,4,0,0,0,1,0,6,4,2,1,3,3,3,3,3,3,3,3,3,3,3,8,0,0,8,1,3,0,368,5,25,130,215,30,368,368,368,368,368,368,216,216,216,16,17,4,4,266,266,11,6,0,8,4,0,1,0,0,20,1,8,11.1,3
2000,7,7,463,0,0,0,1,0,0.19,0,0.19,0.19,0.19,1.4,1.4,1.4,0.27,0.27,0.27,0.27,0.27,5.1,0,6,0,46.2,46.2,1.17,0.08,0.17,0.11,-0.4,-0.4,90,111,81.1,1347,286,53,63,84.1,24,28,85.7,8,11,72.7,0,4,5,1,0,10,105,5,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,11,2.13,4,0,0,3,1,0,0,0,0,0,0,0,0,10,5,1,3,6,6,6,6,6,6,6,6,6,6,6,6,2,2,4,1,3,0,190,7,25,87,83,18,190,190,190,190,190,190,117,117,117,10,6,4,4,123,123,17,5,0,7,13,1,0,0,0,23,4,11,26.7,1
1996,3,2,178,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,167,186,89.8,3073,842,74,80,92.5,69,77,89.6,19,24,79.2,0,3,24,4,0,27,174,12,1,0,0,4,2,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,1,3,1.52,3,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,3,0,0,0,0,0,0,0,0,0,0,0,4,1,1,3,2,2,0,208,7,31,128,49,1,208,208,208,208,208,208,146,146,146,2,4,0,0,158,158,3,3,0,7,2,0,0,0,0,14,1,1,50,0
