birth_year,games,games_starts,minutes,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,minutes_90s,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,goals
1993,3,3,250,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,0,0,0,0,0,0,0,0,0,0,0,67,99,67.7,953,410,42,53,79.2,19,25,76,4,12,33.3,0,2,4,3,1,6,75,23,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,23,23,1,1,1,6,6,2.16,3,2,2,0,0,0,0,0,0,0,0,0,0,5,3,2,2,1,1,1,1,1,1,1,1,1,1,1,4,2,2,2,2,8,0,133,13,36,45,53,3,133,133,133,133,133,133,64,64,64,2,1,1,1,67,67,4,7,0,5,4,0,0,0,0,14,2,4,33.3,0
2004,3,1,112,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.1,0.08,0.08,0.08,0.08,0.08,1.2,0,0,0,0,0,0,0,0,0.1,-0.1,-0.1,37,41,90.2,643,67,17,19,89.5,15,16,93.8,4,4,100,0,0,2,0,0,3,40,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.8,1,0,0,0,0,0,0,0,0,0,0,0,0,6,2,3,2,1,1,1,1,1,1,1,1,1,1,1,6,2,2,4,3,0,0,57,3,18,31,9,0,57,57,57,57,57,57,25,25,25,0,1,0,0,27,27,0,1,0,4,2,0,0,0,0,7,1,0,100,0
1998,1,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,2,3,66.7,65,42,0,0,0,1,1,100,1,2,50,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,5,2,4,1,0,0,5,5,5,5,5,5,3,3,3,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1993,3,2,156,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.14,0.14,0.14,0.14,0.14,1.7,0,0,1,0,0,0,0,0,0.06,-0.2,-0.2,57,71,80.3,1132,277,17,19,89.5,29,33,87.9,8,12,66.7,0,4,7,0,0,8,58,13,3,0,0,3,5,4,4,0,0,0,0,0,0,0,0,3,3,0,0,0,1,6,3.46,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,2,0,85,2,12,41,34,3,85,85,85,85,85,85,42,42,42,1,0,0,0,53,53,3,4,0,2,5,0,0,0,0,11,4,1,80,0
1997,6,2,187,1,0,0,1,0,0.48,0.48,0.96,0.48,0.96,0.7,0.7,0.7,0.35,0.35,0.35,0.35,0.35,2.1,0,2,0,33.3,33.3,0.96,0.17,0.5,0.12,0.3,0.3,53,71,74.6,644,120,36,40,90,14,20,70,1,4,25,1,2,2,3,0,5,69,2,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,6,2.89,4,0,0,0,1,1,0.48,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,87,0,7,28,54,11,87,87,87,87,87,87,63,63,63,15,2,8,8,67,67,2,4,0,1,7,0,0,0,0,6,1,2,33.3,1
1988,8,3,321,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.1,0.04,0.04,0.04,0.04,0.04,3.6,0,0,0,0,0,0,0,0,0.06,-0.1,-0.1,103,138,74.6,1506,484,62,70,88.6,31,45,68.9,6,14,42.9,0,2,7,2,0,7,125,13,1,0,0,1,4,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,2,3,0.84,1,0,0,1,1,0,0,0,0,0,0,0,0,7,2,4,3,0,0,0,0,0,0,0,0,0,0,0,9,4,4,5,5,17,0,185,26,84,69,32,5,185,185,185,185,185,185,72,72,72,1,4,0,0,89,89,2,2,0,3,3,2,0,0,0,16,7,8,46.7,0
1999,4,1,127,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,59,79,74.7,1097,366,21,24,87.5,33,40,82.5,5,13,38.5,0,0,2,0,0,2,74,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,6,0,90,10,49,40,3,1,90,90,90,90,90,90,52,52,52,1,0,1,1,54,54,0,1,1,1,0,0,0,0,0,11,0,1,0,0
1997,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09,1.09,1.09,1.09,1.09,0,0,0,0,0,0,0,0,0,0.04,0,0,1,1,100,7,0,1,1,100,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,0,2,2,2,4,4,4,4,4,4,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,7,7,560,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.04,0.04,0.04,0.04,0.04,6.2,0,1,0,100,100,0.16,0,0,0.25,-0.2,-0.2,150,204,73.5,2661,1122,81,92,88,53,66,80.3,16,38,42.1,0,1,20,3,0,20,189,14,7,0,0,2,3,0,0,0,0,0,0,0,0,0,0,3,3,1,1,1,6,6,0.96,6,0,0,0,0,1,0.16,1,0,0,0,0,0,22,13,14,8,0,0,0,0,0,0,0,0,0,0,0,9,2,2,7,5,18,0,279,31,118,139,24,1,279,279,279,279,279,279,145,145,145,6,8,0,0,146,146,5,1,0,3,4,0,0,0,0,28,3,9,25,0
1998,2,2,114,0,0,0,0,1,0,0,0,0,0,0,0,0,0.03,0.03,0.03,0.03,0.03,1.3,0,0,0,0,0,0,0,0,0.04,0,0,27,34,79.4,388,97,14,15,93.3,11,13,84.6,0,1,0,0,1,2,0,0,5,34,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2.37,2,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,0,0,0,0,0,0,0,0,0,0,0,3,1,1,2,0,1,0,56,4,11,29,18,3,56,56,56,56,56,56,37,37,37,6,6,1,1,34,34,3,1,0,2,2,0,0,0,0,5,1,3,25,0
2001,3,0,48,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0.1,0.22,0.22,0.22,0.22,0.22,0.5,0,1,0,50,50,1.87,0,0,0.06,-0.1,-0.1,21,29,72.4,337,124,9,13,69.2,9,12,75,2,2,100,0,0,3,1,0,5,29,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5.63,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,43,1,5,18,22,2,43,43,43,43,43,43,25,25,25,0,4,0,0,30,30,0,1,0,1,1,0,0,0,0,9,0,3,0,0
1995,7,3,339,1,0,0,0,0,0,0.27,0.27,0,0.27,0.5,0.5,0.5,0.13,0.13,0.13,0.13,0.13,3.8,0,3,0,27.3,27.3,0.8,0,0,0.04,-0.5,-0.5,102,136,75,1276,291,64,74,86.5,24,34,70.6,5,8,62.5,1,7,6,9,1,17,133,1,1,2,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,8,17,4.51,15,0,0,0,0,1,0.27,1,0,0,0,0,0,4,1,1,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,2,2,0,188,3,38,60,92,21,188,188,188,188,188,188,125,125,125,19,12,10,10,133,133,9,5,0,3,3,1,0,0,0,23,0,3,0,0
1990,4,3,171,1,0,0,1,0,0,0.53,0.53,0,0.53,0,0,0,0,0,0,0,0,1.9,0,0,0,0,0,0,0,0,0,0,0,74,95,77.9,1369,399,27,28,96.4,33,36,91.7,11,23,47.8,1,4,6,4,1,13,80,14,5,0,0,0,11,7,2,2,1,1,1,1,1,1,1,2,2,1,1,1,2,6,3.16,4,2,2,0,0,1,0.53,1,0,0,0,0,0,2,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,2,3,3,0,112,3,20,50,42,2,112,112,112,112,112,112,70,70,70,2,3,1,1,76,76,5,0,0,2,4,0,0,0,0,6,2,1,66.7,0
1998,8,6,514,1,0,0,1,0,0,0.18,0.18,0,0.18,0.3,0.3,0.3,0.06,0.06,0.06,0.06,0.06,5.7,0,0,0,0,0,0,0,0,0.11,-0.3,-0.3,193,229,84.3,3131,568,97,108,89.8,78,92,84.8,14,21,66.7,1,5,10,1,0,15,220,9,3,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,1.58,9,0,0,0,0,1,0.18,1,0,0,0,0,0,9,4,6,2,1,1,1,1,1,1,1,1,1,1,1,8,4,4,4,2,6,0,281,21,80,129,74,14,281,281,281,281,281,281,154,154,154,8,7,3,3,186,186,5,6,0,7,2,1,0,0,0,32,14,9,60.9,0
1992,2,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,1,1,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,5,3,256,0,0,0,0,0,0,0,0,0,0,1.5,1.5,1.5,0.52,0.52,0.52,0.52,0.52,2.8,0,1,0,7.7,7.7,0.35,0,0,0.11,-1.5,-1.5,31,53,58.5,407,101,18,26,69.2,10,18,55.6,2,2,100,0,4,5,1,0,6,53,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,4.92,8,0,0,1,0,1,0.35,1,0,0,0,0,0,4,2,0,3,1,1,1,1,1,1,1,1,1,1,1,5,0,0,5,0,5,0,108,7,8,37,65,17,108,108,108,108,108,108,58,58,58,4,4,3,3,71,71,12,6,0,3,3,1,0,0,0,11,15,14,51.7,0
2000,6,6,502,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,0,0,0,0,0,0,0,0,0,0,0,329,367,89.6,6153,1576,111,125,88.8,192,198,97,22,37,59.5,0,0,10,0,0,5,358,8,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.18,1,0,0,0,0,0,0,0,0,0,0,0,0,19,12,13,5,1,1,1,1,1,1,1,1,1,1,1,9,6,6,3,8,26,0,433,74,258,168,7,0,433,433,433,433,433,433,270,270,270,4,3,0,0,294,294,2,1,0,4,3,0,0,0,0,29,10,9,52.6,0
1996,8,8,690,0,0,0,0,0,0,0,0,0,0,1.4,1.4,1.4,0.18,0.18,0.18,0.18,0.18,7.7,0,1,4,6.7,6.7,0.13,0,0,0.09,-1.4,-1.4,202,257,78.6,3103,859,115,133,86.5,62,74,83.8,16,29,55.2,0,8,18,7,1,24,251,6,2,0,0,2,10,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,8,20,2.61,18,0,0,1,1,1,0.13,1,0,0,0,0,0,21,8,3,14,4,4,4,4,4,4,4,4,4,4,4,18,3,3,15,9,16,0,363,26,79,169,119,32,363,363,363,363,363,363,183,183,183,11,10,5,5,210,210,12,8,0,7,10,0,0,0,0,38,15,8,65.2,0
1996,8,8,656,0,0,0,6,1,0,0,0,0,0,0.8,0.8,0.8,0.11,0.11,0.11,0.11,0.11,7.3,0,3,0,23.1,23.1,0.41,0,0,0.06,-0.8,-0.8,535,589,90.8,7994,2594,291,308,94.5,198,215,92.1,18,25,72,0,5,48,6,0,62,568,18,18,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,5,19,2.61,16,0,0,0,0,1,0.14,1,0,0,0,0,0,26,18,11,11,4,4,4,4,4,4,4,4,4,4,4,12,3,3,9,13,13,0,695,29,153,398,155,11,695,695,695,695,695,695,470,470,470,25,19,6,6,545,545,14,15,1,11,14,0,0,0,0,49,4,4,50,0
2003,3,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,15,17,88.2,211,80,12,12,100,2,2,100,1,1,100,0,1,1,3,0,5,17,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5.74,2,0,0,0,1,1,1.91,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,1,7,17,1,24,24,24,24,24,24,16,16,16,3,2,0,0,16,16,1,1,0,1,2,0,0,0,0,4,0,0,0,0
2000,5,4,318,0,0,0,0,0,0.28,0,0.28,0.28,0.28,0.6,0.6,0.6,0.16,0.16,0.16,0.16,0.16,3.5,0,1,0,33.3,33.3,0.28,0.33,1,0.19,0.4,0.4,77,113,68.1,1150,367,44,52,84.6,23,33,69.7,6,15,40,0,2,2,4,2,5,98,15,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,6,5,1.42,5,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,6,7,0,149,11,49,57,44,9,149,149,149,149,149,149,66,66,66,3,2,1,1,86,86,6,4,0,6,3,3,0,0,0,12,2,3,40,1
1991,7,7,608,0,0,0,1,0,0.15,0,0.15,0.15,0.15,1,1,1,0.15,0.15,0.15,0.15,0.15,6.8,0,5,0,55.6,55.6,0.74,0.11,0.2,0.11,0,0,231,305,75.7,4025,1760,97,108,89.8,113,147,76.9,13,39,33.3,0,2,14,4,0,13,264,41,6,1,1,0,1,0,0,0,0,0,0,0,0,0,0,35,35,0,0,0,4,3,0.44,2,0,0,1,0,0,0,0,0,0,0,0,0,17,12,14,3,0,0,0,0,0,0,0,0,0,0,0,14,12,12,2,9,43,0,401,80,228,149,25,11,401,401,401,401,401,401,189,189,189,2,2,1,1,214,214,1,0,0,10,1,1,0,0,0,31,23,12,65.7,1
2000,5,5,446,1,0,0,1,0,0.2,0.2,0.4,0.2,0.4,0.3,0.3,0.3,0.06,0.06,0.06,0.06,0.06,5,0,1,0,20,20,0.2,0.2,1,0.06,0.7,0.7,322,349,92.3,5590,2275,134,145,92.4,159,168,94.6,26,31,83.9,1,2,15,0,0,9,336,13,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,4,0.81,3,0,0,1,0,1,0.2,1,0,0,0,0,0,6,5,4,2,0,0,0,0,0,0,0,0,0,0,0,4,3,3,1,4,16,1,387,62,216,163,9,8,387,387,387,387,387,387,250,250,250,0,2,0,0,275,275,1,0,0,2,2,1,0,0,0,31,12,6,66.7,1
1996,8,8,719,1,0,0,1,0,0.63,0.13,0.75,0.63,0.75,3.6,3.6,3.6,0.45,0.45,0.45,0.45,0.45,8,0,11,0,47.8,47.8,1.38,0.22,0.45,0.16,1.4,1.4,121,172,70.3,1635,417,73,86,84.9,32,45,71.1,7,13,53.8,1,5,7,0,0,13,164,8,0,1,1,1,17,5,5,0,0,0,0,0,0,0,0,1,1,0,0,0,9,20,2.5,9,4,4,3,1,3,0.38,2,0,0,0,0,1,13,10,6,3,4,4,4,4,4,4,4,4,4,4,4,8,0,0,8,5,6,0,266,4,40,103,127,42,266,266,266,266,266,266,155,155,155,20,6,10,10,179,179,20,10,0,4,9,7,0,0,0,30,14,18,43.8,5
2002,6,6,540,0,0,0,3,0,0,0,0,0,0,0.2,0.2,0.2,0.04,0.04,0.04,0.04,0.04,6,0,1,0,33.3,33.3,0.17,0,0,0.07,-0.2,-0.2,228,275,82.9,3982,1646,104,116,89.7,97,109,89,20,39,51.3,0,1,8,1,0,16,272,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,5,0.83,5,0,0,0,0,1,0.17,1,0,0,0,0,0,13,6,11,1,1,1,1,1,1,1,1,1,1,1,1,8,6,6,2,10,22,0,338,41,179,150,11,7,338,338,338,338,338,338,168,168,168,0,1,0,0,173,173,1,0,0,10,3,1,0,0,0,47,18,12,60,0
2000,2,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,6,7,85.7,63,0,5,5,100,1,2,50,0,0,0,0,1,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.75,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,13,0,2,5,6,3,13,13,13,13,13,13,7,7,7,0,0,1,1,9,9,3,0,0,0,1,0,0,0,0,1,0,1,0,0
2001,3,2,121,0,0,0,0,0,0.74,0,0.74,0.74,0.74,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,1.3,0,1,0,25,25,0.74,0.25,1,0.13,0.5,0.5,21,24,87.5,231,18,15,16,93.8,4,4,100,0,1,0,0,0,0,2,0,2,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.49,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,40,1,1,11,28,11,40,40,40,40,40,40,29,29,29,4,1,2,2,30,30,3,2,0,1,2,4,0,0,0,3,1,2,33.3,1
2003,2,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,12,14,85.7,173,77,9,10,90,2,3,66.7,1,1,100,0,0,1,0,0,0,12,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,21,0,3,14,5,1,21,21,21,21,21,21,8,8,8,0,0,0,0,11,11,2,0,0,0,0,0,0,0,0,1,1,1,50,0
1997,7,1,173,0,0,0,1,0,0.52,0,0.52,0.52,0.52,1.5,1.5,1.5,0.76,0.76,0.76,0.76,0.76,1.9,0,3,0,42.9,42.9,1.56,0.14,0.33,0.21,-0.5,-0.5,57,84,67.9,905,411,31,35,88.6,20,27,74.1,5,17,29.4,0,5,8,7,1,13,74,10,1,1,1,0,11,6,5,0,0,0,0,0,0,0,0,3,3,0,0,0,3,12,6.24,9,1,1,0,1,1,0.52,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,2,0,108,2,19,42,49,5,108,108,108,108,108,108,61,61,61,5,6,0,0,68,68,6,1,0,5,1,0,0,0,0,11,1,4,20,1
1998,8,5,435,0,0,0,2,0,0,0,0,0,0,1.5,1.5,1.5,0.31,0.31,0.31,0.31,0.31,4.8,0,2,0,14.3,14.3,0.41,0,0,0.11,-1.5,-1.5,49,102,48,723,216,32,51,62.7,12,19,63.2,3,9,33.3,0,5,1,2,1,6,98,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,12,8,1.66,5,0,0,1,1,0,0,0,0,0,0,0,0,6,4,2,3,1,1,1,1,1,1,1,1,1,1,1,8,0,0,8,4,5,0,177,11,42,54,84,27,177,177,177,177,177,177,84,84,84,13,8,3,3,106,106,6,14,0,8,5,4,0,0,0,29,14,23,37.8,0
1995,7,5,491,0,0,0,1,0,0.18,0,0.18,0.18,0.18,0.5,0.5,0.5,0.09,0.09,0.09,0.09,0.09,5.5,0,1,0,12.5,12.5,0.18,0.13,1,0.06,0.5,0.5,176,244,72.1,2698,639,98,120,81.7,59,74,79.7,11,26,42.3,0,9,5,3,0,14,200,41,10,2,2,1,24,26,11,2,2,2,2,2,2,2,2,2,2,3,3,3,8,22,4.03,8,10,10,1,2,2,0.37,2,0,0,0,0,0,10,9,2,5,3,3,3,3,3,3,3,3,3,3,3,4,1,1,3,6,10,0,291,16,55,110,128,12,291,291,291,291,291,291,130,130,130,4,2,1,1,150,150,3,4,0,7,4,1,0,0,0,33,6,6,50,1
1998,7,0,142,0,0,0,0,0,0.63,0,0.63,0.63,0.63,0.5,0.5,0.5,0.28,0.28,0.28,0.28,0.28,1.6,0,2,2,33.3,33.3,1.27,0.17,0.5,0.08,0.5,0.5,38,47,80.9,587,81,23,26,88.5,10,12,83.3,4,5,80,0,2,0,3,0,3,44,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,1,6,3.78,5,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,3,0,69,3,7,25,39,12,69,69,69,69,69,69,44,44,44,10,4,3,3,43,43,5,2,0,4,1,2,0,0,0,7,2,4,33.3,1
2002,6,1,145,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.11,0.11,0.11,0.11,0.11,1.6,0,0,0,0,0,0,0,0,0.06,-0.2,-0.2,88,109,80.7,1200,369,61,68,89.7,23,29,79.3,4,9,44.4,0,2,5,2,2,3,95,13,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,13,13,1,1,1,2,8,5.03,6,0,0,1,0,1,0.63,1,0,0,0,0,0,3,1,2,0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,5,0,131,7,42,51,38,4,131,131,131,131,131,131,77,77,77,7,2,0,0,80,80,2,2,0,1,1,0,0,0,1,13,1,5,16.7,0
2004,1,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.07,0.07,0.07,0.07,0.5,0,1,0,100,100,2,0,0,0.04,0,0,10,14,71.4,155,18,5,7,71.4,4,6,66.7,1,1,100,0,0,0,0,0,0,13,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,21,2,7,11,4,0,21,21,21,21,21,21,13,13,13,0,0,0,0,11,11,2,3,0,2,4,0,0,0,0,4,0,0,0,0
1996,7,6,541,1,0,0,1,0,0,0.17,0.17,0,0.17,0.4,0.4,0.4,0.06,0.06,0.06,0.06,0.06,6,0,1,0,20,20,0.17,0,0,0.07,-0.4,-0.4,137,198,69.2,2503,936,53,71,74.6,64,81,79,15,34,44.1,1,5,12,4,0,22,185,13,5,0,0,1,6,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,5,8,1.33,6,0,0,2,0,1,0.17,1,0,0,0,0,0,12,7,8,2,2,2,2,2,2,2,2,2,2,2,2,8,6,6,2,5,21,0,264,28,102,112,53,12,264,264,264,264,264,264,111,111,111,0,2,0,0,131,131,7,3,0,4,5,0,0,0,0,18,18,6,75,0
1992,8,8,720,0,0,0,1,0,0.12,0,0.12,0.12,0.12,0.9,0.9,0.9,0.12,0.12,0.12,0.12,0.12,8,0,2,0,28.6,28.6,0.25,0.14,0.5,0.13,0.1,0.1,389,476,81.7,6177,2448,199,222,89.6,170,210,81,16,28,57.1,0,3,25,4,2,23,399,75,14,1,1,1,8,0,0,0,0,0,0,0,0,0,0,59,59,2,2,2,5,8,1,7,0,0,1,0,0,0,0,0,0,0,0,0,13,7,8,5,0,0,0,0,0,0,0,0,0,0,0,15,5,5,10,7,21,1,558,33,218,253,88,13,558,558,558,558,558,558,266,266,266,5,3,0,0,317,317,2,3,0,6,4,1,0,0,0,41,19,11,63.3,1
2003,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,3,4,75,29,1,3,3,100,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,5,1,6,6,6,6,6,6,2,2,2,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,6,5,453,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.1,0.03,0.03,0.03,0.03,0.03,5,0,1,0,33.3,33.3,0.2,0,0,0.04,-0.1,-0.1,298,324,92,4631,1202,155,166,93.4,101,105,96.2,23,25,92,0,2,22,3,0,27,315,8,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,5,12,2.38,7,0,0,1,2,3,0.6,2,0,0,0,0,1,13,7,6,5,2,2,2,2,2,2,2,2,2,2,2,8,5,5,3,2,6,1,372,17,98,207,68,1,372,372,372,372,372,372,235,235,235,4,5,0,0,287,287,6,3,0,8,7,0,0,1,0,29,8,2,80,0
